iter	Passed	Remaining
924	73662	85607
925	73745	85532
926	73846	85476
927	73940	85414
928	74020	85334
929	74098	85253
930	74178	85174
931	74248	85083
932	74337	85014
933	74417	84934
934	74494	84851
935	74570	84768
936	74664	84704
937	74747	84628
938	74824	84546
939	74910	84474
940	74993	84398
941	75068	84312
942	75158	84244
943	75238	84165
944	75332	84101
945	75408	84017
946	75488	83938
947	75558	83847
948	75629	83758
949	75702	83670
950	75794	83605
951	75874	83525
952	75961	83453
953	76041	83374
954	76116	83289
955	76197	83211
956	76267	83121
957	76342	83036
958	76405	82938
959	76484	82858
960	76577	82793
961	76653	82708
962	76744	82642
963	76819	82556
964	76892	82470
965	76982	82401
966	77065	82325
967	77136	82236
968	77224	82165
969	77304	82086
970	77386	82008
971	77457	81920
972	77537	81840
973	77622	81766
974	77709	81694
975	77791	81617
976	77878	81545
977	77957	81465
978	78046	81395
979	78133	81322
980	78203	81232
981	78293	81163
982	78363	81074
983	78442	80993
984	78525	80916
985	78608	80840
986	78687	80760
987	78774	80688
988	78856	80610
989	78928	80523
990	78995	80429
991	79058	80333
992	79138	80254
993	79226	80182
994	79300	80097
995	79389	80027
996	79472	79950
997	79549	79868
998	79632	79792
999	79730	79730
1000	79817	79657
1001	79908	79589
1002	79988	79510
1003	80078	79439
1004	80144	79346
1005	80229	79272
1006	80304	79187
1007	80382	79106
1008	80460	79024
1009	80552	78957
1010	80628	78874
1011	80713	78799
1012	80799	78725
1013	80870	78637
1014	80956	78563
1015	81032	78480
1016	81105	78394
1017	81200	78328
1018	81270	78239
1019	81342	78152
1020	81414	78065
1021	81499	77990
1022	81562	77895
1023	81639	77812
1024	81723	77736
1025	81807	77661
1026	81883	77577
1027	81955	77491
1028	82021	77398
1029	82110	77327
1030	82189	77246
1031	82273	77171
1032	82354	77093
1033	82432	77011
1034	82510	76929
1035	82593	76853
1036	82679	76779
1037	82766	76706
1038	82854	76634
1039	82934	76554
1040	83031	76491
1041	83113	76413
1042	83184	76325
1043	83264	76245
1044	83331	76154
1045	83411	76074
1046	83491	75995
1047	83537	75885
1048	83609	75798
1049	83679	75709
1050	83752	75624
1051	83846	75557
1052	83934	75485
1053	84008	75400
1054	84094	75326
1055	84172	75244
1056	84259	75171
1057	84334	75088
1058	84413	75007
1059	84507	74940
1060	84577	74852
1061	84675	74789
1062	84764	74716
1063	84845	74638
1064	84923	74556
1065	85010	74484
1066	85089	74403
1067	85158	74314
1068	85259	74253
1069	85337	74171
1070	85424	74098
1071	85504	74018
1072	85589	73943
1073	85688	73880
1074	85757	73790
1075	85827	73702
1076	85902	73619
1077	85982	73540
1078	86068	73465
1079	86153	73389
1080	86248	73323
1081	86341	73254
1082	86418	73172
1083	86495	73089
1084	86573	73009
1085	86662	72937
1086	86739	72854
1087	86815	72771
1088	86908	72702
1089	86996	72630
1090	87075	72549
1091	87161	72474
1092	87238	72392
1093	87315	72310
1094	87381	72219
1095	87461	72139
1096	87543	72061
1097	87624	71982
1098	87693	71894
1099	87765	71808
1100	87843	71727
1101	87929	71651
